Restaurant Name,Cuisine,,,Day,Time,Order Details,OrderDate,DeliveryDate,OrderAmount,,
Agarwal Caterers,North Indian,,,Mon, 12:41 PM,"ORDER #1136082209 | Mon, Jan 29, 12:41 PM"," Jan 29, 12:41 PM","Mon, Jan 29, 1:00 PM",208,Roti Thali x 2,Teachers Colony adyar
Agarwal Caterers,North Indian,,,Mon, 12:31 PM,"ORDER #1080066349 | Mon, Feb 13, 12:31 PM"," Feb 13, 12:31 PM","Mon, Feb 13, 1:07 PM",250,"Veg Biryani Combo x 1, Roti Thali x 1, Jeera Aloo x 1",Teachers Colony adyar
Agarwal Caterers,North Indian,,,Fri, 12:16 PM,"ORDER #1079064573 | Fri, Feb 3, 12:16 PM"," Feb 3, 12:16 PM","Fri, Feb 3, 12:52 PM",125,Mini Thali x 1,Teachers Colony adyar
Agarwal Caterers,North Indian,,,Wed, 12:11 PM,"ORDER #1078892942 | Wed, Feb 1, 12:11 PM"," Feb 1, 12:11 PM","Wed, Feb 1, 12:44 PM",116,"Dal Tadka x 1, Roti x 2, Butter Roti x 1",Teachers Colony adyar
Agarwal Caterers,North Indian,,,Mon, 12:17 PM,"ORDER #1078729632 | Mon, Jan 30, 12:17 PM"," Jan 30, 12:17 PM","Mon, Jan 30, 12:57 PM",120,Roti Thali x 1,Teachers Colony adyar
Agarwal Caterers,North Indian,,,Wed, 12:23 PM,"ORDER #1077566031 | Wed, Jan 18, 12:23 PM"," Jan 18, 12:23 PM","Wed, Jan 18, 1:17 PM",185,"Veg Mixed Paratha Combo x 1, Dal Tadka x 1",Teachers Colony adyar
Agarwal Caterers,North Indian,,,Tue, 12:13 PM,"ORDER #1077484865 | Tue, Jan 17, 12:13 PM"," Jan 17, 12:13 PM","Tue, Jan 17, 12:48 PM",155,"Veg Mixed Paratha Combo x 1, Dal Tadka x 1",Teachers Colony adyar
Agarwal Caterers,North Indian,,,Fri, 12:19 PM,"ORDER #1075156970 | Fri, Dec 23, 12:19 PM"," Dec 23, 12:19 PM","Fri, Dec 23, 1:09 PM",380,"Paneer Butter Masala x 1, Dal Tadka x 1, Paneer Paratha x 2, Aloo Paratha Combo x 1, Veg Mixed Paratha Combo x 1",Teachers Colony adyar
Agarwal Caterers,North Indian,,,Wed, 12:34 PM,"ORDER #1073706897 | Wed, Dec 7, 12:34 PM"," Dec 7, 12:34 PM","Wed, Dec 7, 1:19 PM",155,"Paneer Paratha x 2, Dal Tadka x 1, Boondi Raita x 1",Teachers Colony adyar
Agarwal Caterers,North Indian,,,Tue, 12:07 PM,"ORDER #1070218400 | Tue, Oct 25, 12:07 PM"," Oct 25, 12:07 PM","Tue, Oct 25, 12:41 PM",120,Roti Thali x 1,Teachers Colony adyar
Agarwal Caterers,North Indian,,,Tue, 12:30 PM,"ORDER #1066807410 | Tue, Sep 6, 12:30 PM"," Sep 6, 12:30 PM","Tue, Sep 6, 1:26 PM",155,"Maharaja Thali x 1, Gulab Jamun x 1",Teachers Colony adyar
Agarwal Caterers,North Indian,,,Thu, 12:43 PM,"ORDER #1065536014 | Thu, Aug 18, 12:43 PM"," Aug 18, 12:43 PM","Thu, Aug 18, 1:20 PM",155,"Maharaja Thali x 1, Gulab Jamun x 1",Teachers Colony adyar
Agarwal Caterers,North Indian,,,Wed, 12:25 PM,"ORDER #1065027258 | Wed, Aug 10, 12:25 PM"," Aug 10, 12:25 PM","Wed, Aug 10, 1:18 PM",170,Maharaja Thali x 1,Teachers Colony adyar
Agarwal Caterers,North Indian,,,Mon, 12:57 PM,"ORDER #1064109404 | Mon, Jul 25, 12:57 PM"," Jul 25, 12:57 PM","Mon, Jul 25, 1:42 PM",375,"Veg Mixed Paratha Combo x 2, Paneer Pulao Combo x 1, Gulab Jamun x 3",Teachers Colony adyar
Agarwal Caterers,North Indian,,,Tue, 12:20 PM,"ORDER #1063757226 | Tue, Jul 19, 12:20 PM"," Jul 19, 12:20 PM","Tue, Jul 19, 1:17 PM",240,"Veg Biryani Combo x 1, Paneer Paratha Combo x 1",Teachers Colony adyar
Bayleaf OTG,North Indian,,,Fri, 3:25 PM,"ORDER #1119710240 | Fri, Nov 24, 3:25 PM"," Nov 24, 3:25 PM","Fri, Nov 24, 3:58 PM",450,"Lucknowi Chicken Biryani + Gravy of the day (Chicken) + Sweet - x 1, Lucknowi Veg Biryani + Gravy of the day + Sweet x 1",Besant Nagar adyar
Bharani Vegetarian Restaurant,South Indian,,,Mon, 4:02 PM,"ORDER #1166032717 | Mon, Apr 16, 4:02 PM"," Apr 16, 4:02 PM","Mon, Apr 16, 4:25 PM",200,"Chilli Parotta x 1, Special Tea x 2",Thiruvanmiyur adyar
Bharani Vegetarian Restaurant,South Indian,,,Sun, 1:35 PM,"ORDER #1165412321 | Sun, Apr 15, 1:35 PM"," Apr 15, 1:35 PM","Sun, Apr 15, 2:02 PM",142,Thanjavur Meals (12.00PM to 3.00PM) x 1,Thiruvanmiyur adyar
Bharani Vegetarian Restaurant,South Indian,,,Fri, 8:21 AM,"ORDER #1164197672 | Fri, Apr 13, 8:21 AM"," Apr 13, 8:21 AM","Fri, Apr 13, 8:47 AM",210,"Special Tea x 2, Mini Tiffin x 1",Thiruvanmiyur adyar
Bharani Vegetarian Restaurant,South Indian,,,Wed, 8:29 AM,"ORDER #1163354175 | Wed, Apr 11, 8:29 AM"," Apr 11, 8:29 AM","Wed, Apr 11, 8:52 AM",294,"Masala Tea x 2, Bengaluru Masala Dosai x 1, Idli x 1",Thiruvanmiyur adyar
Bharani Vegetarian Restaurant,South Indian,,,Sat, 10:54 PM,"ORDER #1158844734 | Sat, Mar 31, 10:54 PM"," Mar 31, 10:54 PM","Sat, Mar 31, 11:14 PM",183,"Ragi Dosai x 1, Cucumber Raita x 1",Thiruvanmiyur adyar
BurgerMan,Western,,,Sat, 10:25 PM,"ORDER #1155796969 | Sat, Mar 24, 10:25 PM"," Mar 24, 10:25 PM","Sat, Mar 24, 10:45 PM",320,Veggie Nachos x 2,Besant Nagar adyar
Cafe Coffee Day,Snacks,,,Mon, 4:28 PM,"ORDER #1131934621 | Mon, Jan 15, 4:28 PM"," Jan 15, 4:28 PM","Mon, Jan 15, 4:51 PM",317,"Chilli cheese Toastizza x 1, Garlic Bread x 1, Smoked Chicken Chipotle Sandwich x 1, Cold Cocoa Latte x 2",Adyar adyar
Cafe Coffee Day,Snacks,,,Fri, 4:58 PM,"ORDER #1119723671 | Fri, Nov 24, 4:58 PM"," Nov 24, 4:58 PM","Fri, Nov 24, 5:41 PM",347,"Filter Coffee Bulk x 1, Tropical Iceberg x 2, Cappuccino (King) x 2",OMR Perungudi omr-perungudi
Cafe Neato,Snacks,,,Can, 10:37 PM,"ORDER #1102650763 | Tue, Aug 15, 10:37 PM"," Aug 15, 10:37 PM","Cancelled on Tue, Aug 15, 10:56 PM",177,"Veg Sprouts & Pomegranate Salad x 1, Scrambled Egg x 1",Pallavakkam ECR-kottivakkam
Chaa,Snacks,,,Sun, 4:58 PM,"ORDER #1133700032 | Sun, Jan 21, 4:58 PM"," Jan 21, 4:58 PM","Sun, Jan 21, 5:30 PM",175,"Bhelpuri x 1, Dhokla x 1, Pani Poori (5 Pcs) x 1, Kachori (1 Pc) x 2",Kandanchavadi omr-perungudi
Chai Galli,North Indian,,,Mon, 11:28 AM,"ORDER #1148176531 | Mon, Mar 5, 11:28 AM"," Mar 5, 11:28 AM","Mon, Mar 5, 11:55 AM",189,Poha x 2,Elliot's Promenade adyar
Chai Galli,North Indian,,,Sun, 4:31 PM,"ORDER #1147903858 | Sun, Mar 4, 4:31 PM"," Mar 4, 4:31 PM","Sun, Mar 4, 4:51 PM",389,"Poha x 2, Chai Galli Special Vada Pav x 1, Cheese Vada Pav x 1",Elliot's Promenade adyar
Chai Galli,North Indian,,,Tue, 2:23 PM,"ORDER #1138641679 | Tue, Feb 6, 2:23 PM"," Feb 6, 2:23 PM","Tue, Feb 6, 2:56 PM",441,"Poha x 2, Aloo Paratha x 1, Tadke Waali Maggi x 1",Elliot's Promenade adyar
Chai Galli,North Indian,,,Mon, 6:09 PM,"ORDER #1128361799 | Mon, Jan 1, 6:09 PM"," Jan 1, 6:09 PM","Mon, Jan 1, 7:00 PM",315,"Aloo Paratha x 1, Poha x 1, Kala Chana Chaat x 1",Elliot's Promenade adyar
Chai Galli,Chaat,,,Sun, 4:38 PM,"ORDER #1121711657 | Sun, Dec 3, 4:38 PM"," Dec 3, 4:38 PM","Sun, Dec 3, 5:13 PM",431,"Kala Chana Chaat x 1, Masala Chai (Pot for Four) x 1, 8"" Veggies on A Khakra x 1",Elliot's Promenade adyar
Chai Galli,North Indian,,,Wed, 11:23 AM,"ORDER #1119281058 | Wed, Nov 22, 11:23 AM"," Nov 22, 11:23 AM","Wed, Nov 22, 12:02 PM",567,"Aloo Paratha x 2, Cheese Vada Pav x 1, Adrak Chai (Pot For Four) x 1, Kala Chana Chaat x 1",Elliot's Promenade adyar
Chai Galli,Chaat,,,Thu, 11:47 AM,"ORDER #1118061245 | Thu, Nov 16, 11:47 AM"," Nov 16, 11:47 AM","Thu, Nov 16, 12:26 PM",546,"Cheese Vada Pav x 2, Poha x 2, Classic Pancake x 1, Hare Bhare Pakode x 1",Elliot's Promenade adyar
Chai Galli,North Indian,,,Mon, 1:05 PM,"ORDER #1117581626 | Mon, Nov 13, 1:05 PM"," Nov 13, 1:05 PM","Mon, Nov 13, 2:05 PM",527,"Poha x 2, Adrak Chai (Pot For Four) x 1, Cheesy Garlic Bread x 1",Elliot's Promenade adyar
Chai Galli,North Indian,,,Sat, 12:33 PM,"ORDER #1117102169 | Sat, Nov 11, 12:33 PM"," Nov 11, 12:33 PM","Sat, Nov 11, 12:57 PM",295,"Adrak Chai (Pot For Four) x 1, Poha x 1",Elliot's Promenade adyar
Chai Galli,North Indian,,,Sun, 12:11 PM,"ORDER #1116000463 | Sun, Nov 5, 12:11 PM"," Nov 5, 12:11 PM","Sun, Nov 5, 12:51 PM",673,"Poha x 1, Tadke Waali Maggi x 1, Plain Vada Pav x 1, Cheese Vada Pav x 1, Aloo Paratha x 2",Elliot's Promenade adyar
Copper Chimney,North Indian,,,Tue, 10:22 PM,"ORDER #1126976745 | Tue, Dec 26, 10:22 PM"," Dec 26, 10:22 PM","Tue, Dec 26, 10:49 PM",494,"Lehsuni Naan x 1, Kadai Paneer x 1, Stuffed Tandoori Kulcha x 1",Taramani omr-perungudi
Copper Chimney,North Indian,,,Mon, 9:42 PM,"ORDER #1119070159 | Mon, Nov 20, 9:42 PM"," Nov 20, 9:42 PM","Mon, Nov 20, 10:16 PM",1203,"Vegetable Keema x 1, Lehsuni Naan x 3, Dum Subji Biryani x 1, Dal Maharaja x 1, Stuffed Tandoori Paratha x 1",Taramani omr-perungudi
Copper Chimney,North Indian,,,Sun, 10:33 PM,"ORDER #1090020569 | Sun, May 14, 10:33 PM"," May 14, 10:33 PM","Sun, May 14, 11:06 PM",490,"Naan x 3, Palak Paneer x 1",Taramani omr-perungudi
Copper Chimney,North Indian,,,Sun, 10:40 PM,"ORDER #1088306319 | Sun, Apr 30, 10:40 PM"," Apr 30, 10:40 PM","Sun, Apr 30, 11:14 PM",663,"Tandoori Roti x 3, Vegetable Keema x 1, Dal Maharaja x 1",Taramani omr-perungudi
Cozee - Box Out,North Indian,,,Wed, 10:27 PM,"ORDER #1120900476 | Wed, Nov 29, 10:27 PM"," Nov 29, 10:27 PM","Wed, Nov 29, 11:11 PM",376,"Palak Paneer Gravy x 1, Garlic Naan x 2, Mixed Raita x 1",Thiruvanmiyur adyar
Cozee - Box Out,Diet,,,Sat, 12:09 AM,"ORDER #1111957433 | Sat, Oct 14, 12:09 AM"," Oct 14, 12:09 AM","Sat, Oct 14, 12:26 AM",208,Paneer Chilli Dry x 1,Thiruvanmiyur adyar
Cozee - Box Out,Diet,,,Tue, 11:37 PM,"ORDER #1111298039 | Mon, Oct 9, 11:37 PM"," Oct 9, 11:37 PM","Tue, Oct 10, 12:14 AM",208,Paneer Chilli Dry x 1,Thiruvanmiyur adyar
Cozee - Box Out,Diet,,,Sat, 11:23 PM,"ORDER #1110933380 | Sat, Oct 7, 11:23 PM"," Oct 7, 11:23 PM","Sat, Oct 7, 11:59 PM",208,Paneer Chilli Dry x 1,Thiruvanmiyur adyar
Cozee - Box Out,Diet,,,Fri, 10:31 PM,"ORDER #1110715440 | Fri, Oct 6, 10:31 PM"," Oct 6, 10:31 PM","Fri, Oct 6, 11:11 PM",208,Paneer Chilli Dry x 1,Thiruvanmiyur adyar
Cozee - Box Out,North Indian,,,Wed, 11:41 PM,"ORDER #1105775944 | Tue, Sep 5, 11:41 PM"," Sep 5, 11:41 PM","Wed, Sep 6, 12:06 AM",277,"Garlic Naan x 1, Kadai Paneer Gravy x 1",Thiruvanmiyur adyar
Cozee - Box Out,North Indian,,,Sat, 12:43 AM,"ORDER #1103053182 | Sat, Aug 19, 12:43 AM"," Aug 19, 12:43 AM","Sat, Aug 19, 1:35 AM",606,"Paneer Butter Masala Gravy x 1, Chana Pepper Fry Gravy x 1, Garlic Naan x 3",Thiruvanmiyur adyar
Cozee - Box Out,Diet,,,Thu, 11:03 PM,"ORDER #1101849572 | Thu, Aug 10, 11:03 PM"," Aug 10, 11:03 PM","Thu, Aug 10, 11:38 PM",299,"Paneer Chilli Dry x 1, Cucumber Raita x 1",Thiruvanmiyur adyar
Cozee - Box Out,Diet,,,Wed, 10:42 PM,"ORDER #1101718534 | Wed, Aug 9, 10:42 PM"," Aug 9, 10:42 PM","Wed, Aug 9, 11:27 PM",257,"Paneer Tikka x 1, Cucumber Raita x 1",Thiruvanmiyur adyar
Cozee - Box Out,Diet,,,Fri, 10:56 PM,"ORDER #1100952165 | Fri, Aug 4, 10:56 PM"," Aug 4, 10:56 PM","Fri, Aug 4, 11:16 PM",269,"Paneer Chilli Dry x 1, Cucumber Raita x 1",Thiruvanmiyur adyar
Cozee - Box Out,Diet,,,Thu, 11:04 PM,"ORDER #1100813400 | Thu, Aug 3, 11:04 PM"," Aug 3, 11:04 PM","Thu, Aug 3, 11:34 PM",287,"Paneer Tikka x 1, Cucumber Raita x 1",Thiruvanmiyur adyar
Cozee - Box Out,Diet,,,Mon, 12:44 AM,"ORDER #1100313005 | Mon, Jul 31, 12:44 AM"," Jul 31, 12:44 AM","Mon, Jul 31, 1:18 AM",277,"Paneer Manchurian x 1, Mineral Water Bottle (1 Litre) x 2",Thiruvanmiyur adyar
Cream Stone,Dessert,,,Sun, 11:12 PM,"ORDER #1138264458 | Sun, Feb 4, 11:12 PM"," Feb 4, 11:12 PM","Sun, Feb 4, 11:22 PM",298,Fruit Exotica x 2,ECR Neelangarai ECR-kottivakkam
Cream stone,Dessert,,,Sun, 11:48 PM,"ORDER #1137842607 | Sat, Feb 3, 11:48 PM"," Feb 3, 11:48 PM","Sun, Feb 4, 12:01 AM",304,"Fruit Exotica x 1, Willy Wonka x 1",Kasthuribai Nagar adyar
Cream Stone,Dessert,,,Mon, 11:13 PM,"ORDER #1132073287 | Mon, Jan 15, 11:13 PM"," Jan 15, 11:13 PM","Mon, Jan 15, 11:28 PM",298,Fruit Exotica x 2,ECR Neelangarai ECR-kottivakkam
Cream stone,Dessert,,,Sun, 12:40 AM,"ORDER #1123103391 | Sun, Dec 10, 12:40 AM"," Dec 10, 12:40 AM","Sun, Dec 10, 12:57 AM",652,"Fruit Exotica x 1, Willy Wonka x 1, Ferrero Rocher x 1",Kasthuribai Nagar adyar
Curry Home Hurry,Snacks,,,Fri, 5:40 PM,"ORDER #1164394523 | Fri, Apr 13, 5:40 PM"," Apr 13, 5:40 PM","Fri, Apr 13, 5:59 PM",100,"Masala Tea x 3, Keerai Vadai (2 Pcs) x 1",Besant Nagar adyar
Dal Roti Express,Diet,,,Tue, 10:22 PM,"ORDER #1100549084 | Tue, Aug 1, 10:22 PM"," Aug 1, 10:22 PM","Tue, Aug 1, 10:52 PM",200,"Boiled Egg (2 Pcs) x 1, Egg Bhurji x 1, Bhindi Bhurji x 1",LB Road adyar
Dal Roti Express,Diet,,,Thu, 1:16 PM,"ORDER #1099698768 | Thu, Jul 27, 1:16 PM"," Jul 27, 1:16 PM","Thu, Jul 27, 1:42 PM",165,"Kadai Paneer x 1, Egg Bhurji x 1",LB Road adyar
Doctor's Bubble Tea,Dessert,,,Mon, 5:00 PM,"ORDER #1148282084 | Mon, Mar 5, 5:00 PM"," Mar 5, 5:00 PM","Mon, Mar 5, 5:17 PM",120,Passion Fruit Freeze Milkshake x 1,Besant Nagar adyar
Domino's Pizza,Pizza,,,Thu, 10:06 PM,"ORDER #1160868700 | Thu, Apr 5, 10:06 PM"," Apr 5, 10:06 PM","Thu, Apr 5, 11:36 PM",529,"Cheese Jalapeno Dip x 1, Garlic Breadsticks x 1, Mexican Green Wave x 1",Thiruvanmiyur adyar
Faasos,North Indian,,,Fri, 1:19 PM,"ORDER #1146957848 | Fri, Mar 2, 1:19 PM"," Mar 2, 1:19 PM","Fri, Mar 2, 2:20 PM",295,"Smoked Butter Chicken Kulcha Combo x 1, Peri Peri Paneer Steak x 1","Sangam Colony,East Coast Road ECR-kottivakkam"
Faasos,North Indian,,,Wed, 1:02 PM,"ORDER #1134480809 | Wed, Jan 24, 1:02 PM"," Jan 24, 1:02 PM","Wed, Jan 24, 1:35 PM",283,"Chole Pav Slider x 1, Reshmi Chicken Kebab Rice Feast x 1, Peri Peri Paneer Steak x 1","Sangam Colony,East Coast Road ECR-kottivakkam"
Faasos,North Indian,,,Tue, 11:33 PM,"ORDER #1134417393 | Tue, Jan 23, 11:33 PM"," Jan 23, 11:33 PM","Tue, Jan 23, 11:58 PM",321,"Chole Kulcha Meal x 3, Gulab Jamun x 1, Paneer Tikka Pav Slider x 1",Besant Nagar adyar
Faasos,North Indian,,,Fri, 4:04 PM,"ORDER #1129133520 | Fri, Jan 5, 4:04 PM"," Jan 5, 4:04 PM","Fri, Jan 5, 4:38 PM",306,"Dal Makhani Kulcha Combo x 1, Chai for 4 x 1, Chole Pav Slider x 2, Chaas & Choco Fantasy x 1",Besant Nagar adyar
Faasos,North Indian,,,Tue, 3:34 PM,"ORDER #1128558753 | Tue, Jan 2, 3:34 PM"," Jan 2, 3:34 PM","Tue, Jan 2, 4:00 PM",300,"Dal Makhani Kulcha Combo x 2, Chai for 4 x 1, Chole Pav Slider x 1",Besant Nagar adyar
Faasos,North Indian,,,Sat, 11:15 AM,"ORDER #1126064224 | Sat, Dec 23, 11:15 AM"," Dec 23, 11:15 AM","Sat, Dec 23, 11:48 AM",300,"Dal Makhani Kulcha Combo x 2, Chai for 4 x 1, Chole Pav Slider x 1",Besant Nagar adyar
Faasos,North Indian,,,Sun, 4:35 PM,"ORDER #1124826594 | Sun, Dec 17, 4:35 PM"," Dec 17, 4:35 PM","Sun, Dec 17, 5:03 PM",290,"Dal Makhani Kulcha Combo x 2, Chai for 4 x 1, Chole Pav Slider x 1",Besant Nagar adyar
Faasos,North Indian,,,Wed, 2:24 PM,"ORDER #1123829056 | Wed, Dec 13, 2:24 PM"," Dec 13, 2:24 PM","Wed, Dec 13, 2:47 PM",154,Dal Makhani Kulcha Combo x 1,Besant Nagar adyar
Faasos,North Indian,,,Sun, 3:14 PM,"ORDER #1123221693 | Sun, Dec 10, 3:14 PM"," Dec 10, 3:14 PM","Sun, Dec 10, 3:42 PM",450,"Dal Makhani Kulcha Combo x 1, Chole Signature Rice Feast x 1, Chai for 4 with Falafel x 1, Chole Pav Slider x 1",Besant Nagar adyar
Faasos,North Indian,,,Sun, 11:34 AM,"ORDER #1123133909 | Sun, Dec 10, 11:34 AM"," Dec 10, 11:34 AM","Sun, Dec 10, 12:02 PM",430,"Dal Makhani Kulcha Combo x 2, Chai for 4 x 1, Chole Pav Slider x 2",Besant Nagar adyar
Faasos,Snacks,,,Sat, 3:42 PM,"ORDER #1122940804 | Sat, Dec 9, 3:42 PM"," Dec 9, 3:42 PM","Sat, Dec 9, 4:17 PM",267,"Chai for 8 x 1, Kesar Muesli x 1, Gulab Jamun x 1",Besant Nagar adyar
Faasos,North Indian,,,Mon, 2:02 PM,"ORDER #1118971648 | Mon, Nov 20, 2:02 PM"," Nov 20, 2:02 PM","Mon, Nov 20, 2:21 PM",0,"Dal Makhani Kulcha Combo x 1, Chai for 8 x 1",Besant Nagar adyar
Faasos,North Indian,,,Can, 1:04 PM,"ORDER #1118957660 | Mon, Nov 20, 1:04 PM"," Nov 20, 1:04 PM","Cancelled on Mon, Nov 20, 1:55 PM",323,"Dal Makhani Kulcha Combo x 1, Chai for 8 x 1",Besant Nagar adyar
Faasos,North Indian,,,Fri, 11:34 PM,"ORDER #1113050158 | Thu, Oct 19, 11:34 PM"," Oct 19, 11:34 PM","Fri, Oct 20, 12:11 AM",330,"Dal Makhani Kulcha Combo x 1, Chole Signature Rice Feast x 1",Besant Nagar adyar
Faasos,North Indian,,,Mon, 10:29 PM,"ORDER #1106717863 | Mon, Sep 11, 10:29 PM"," Sep 11, 10:29 PM","Mon, Sep 11, 10:56 PM",292,"Dal Rice with Omelette x 1, Cheese Melt Paneer Wrap x 1",Besant Nagar adyar
Food Corner,Snacks,,,Sun, 10:17 AM,"ORDER #1165289384 | Sun, Apr 15, 10:17 AM"," Apr 15, 10:17 AM","Sun, Apr 15, 10:50 AM",120,Ginger Tea x 4,Near RTO ECR-kottivakkam
Food Out,North Indian,,,Mon, 11:36 PM,"ORDER #1162933212 | Mon, Apr 9, 11:36 PM"," Apr 9, 11:36 PM","Mon, Apr 9, 11:56 PM",140,Kadai Paneer Masala x 1,Thiruvanmiyur adyar
Food Out,North Indian,,,Mon, 10:59 PM,"ORDER #1096528231 | Mon, Jul 3, 10:59 PM"," Jul 3, 10:59 PM","Mon, Jul 3, 11:23 PM",157,Paneer Pepper Fry x 1,Thiruvanmiyur adyar
Gangotree,Chaat,,,Sun, 3:33 PM,"ORDER #1105409737 | Sun, Sep 3, 3:33 PM"," Sep 3, 3:33 PM","Sun, Sep 3, 4:02 PM",438,"Masala Puri x 1, Dahi Papri Chaat x 1, Cheese Pav Bhaji x 1, Pani Puri x 1, Raj Kachori x 1",Gandhi Nagar adyar
Gangotree,Chaat,,,Wed, 12:58 PM,"ORDER #1076270628 | Wed, Jan 4, 12:58 PM"," Jan 4, 12:58 PM","Wed, Jan 4, 2:01 PM",244,"Masala Paneer Wrap x 2, Vada Pav x 1",Gandhi Nagar adyar
Great Wall,Chinese,,,Mon, 1:19 PM,"ORDER #1099340410 | Mon, Jul 24, 1:19 PM"," Jul 24, 1:19 PM","Mon, Jul 24, 1:49 PM",325,"Veg Manchow Soup x 1, Dragon Paneer x 1",Besant Nagar adyar
